time,num
0,1
1,1
2,1
3,1
6,2
7,1
8,1
9,2
10,1
11,1
12,3
13,4
14,3
15,3
16,2
17,1
18,1
19,1
20,2
22,1
23,1
24,2
27,1
28,1
29,1
31,3
32,2
34,1
35,1
37,1
38,1
39,2
40,2
41,5
44,1
45,1
46,2
47,1
48,1
52,1
53,3
54,3
55,1
56,3
57,2
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
69,1
71,1
72,1
73,2
74,3
75,1
77,1
78,1
79,1
81,1
82,1
83,1
84,1
86,2
87,1
88,1
90,1
92,2
95,2
96,1
97,1
98,2
101,2
103,2
104,1
105,4
106,3
107,1
109,2
110,1
111,1
112,2
114,1
115,1
116,1
117,1
118,2
120,3
121,1
122,4
123,1
124,1
125,1
126,3
128,2
131,1
132,1
133,2
135,2
136,3
137,1
138,2
139,1
140,1
141,2
142,2
144,3
145,1
146,1
147,1
148,2
149,3
150,1
151,3
152,1
153,1
156,1
157,2
158,1
159,1
161,1
163,1
164,2
167,1
168,2
170,1
173,2
176,1
177,3
178,3
179,1
180,3
181,2
182,2
183,1
185,1
186,2
189,2
191,2
192,3
193,1
194,4
196,1
197,4
198,2
199,2
200,1
202,1
204,3
205,2
206,2
207,1
210,1
211,3
212,1
213,2
214,1
216,1
218,1
220,1
221,1
222,1
223,3
225,2
226,1
230,2
231,1
232,1
233,3
234,1
235,1
236,2
238,2
239,3
241,4
242,1
244,3
245,1
247,1
248,2
249,2
251,1
254,1
255,3
256,3
257,1
258,2
259,1
260,2
261,1
262,4
265,2
266,2
268,2
269,2
270,2
271,3
273,2
276,2
277,1
278,1
279,3
280,1
281,1
282,1
283,2
284,1
286,1
287,1
288,1
289,1
290,1
291,2
293,2
294,1
295,1
297,3
298,1
299,2
300,1
301,1
303,1
304,4
306,2
307,1
309,2
310,1
311,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
322,3
323,1
324,2
325,4
327,1
328,2
329,1
330,3
331,3
332,1
333,3
334,2
335,1
336,3
337,2
338,3
339,1
340,3
341,3
342,1
343,1
344,1
345,1
346,2
347,1
348,1
350,2
351,1
352,1
353,1
356,2
357,2
358,2
359,1
360,2
361,4
362,1
364,1
365,1
369,2
371,2
372,1
373,1
374,2
375,2
376,1
377,1
378,1
379,1
380,1
382,1
383,1
386,1
387,1
388,3
389,1
390,3
391,2
393,1
394,1
395,3
396,1
397,1
399,2
402,1
403,1
404,3
407,1
411,2
412,1
413,1
415,3
416,1
419,1
421,1
422,1
423,4
424,2
425,2
426,2
427,1
430,2
433,1
434,1
435,2
436,2
437,4
439,2
440,2
442,1
443,1
444,3
445,2
447,1
448,1
449,1
451,2
452,3
453,1
454,1
455,1
456,2
457,3
459,1
460,2
462,1
463,2
464,1
465,1
466,2
467,2
468,3
469,1
473,3
475,5
476,2
479,3
480,2
484,2
485,2
486,1
487,1
489,3
490,1
493,2
494,3
495,2
496,2
497,1
498,2
499,2
501,2
502,2
504,1
506,2
508,2
509,1
510,2
511,5
512,3
513,1
514,3
515,2
516,1
517,1
521,2
523,2
524,3
525,3
526,1
531,1
532,1
535,2
536,3
537,2
538,2
539,2
540,1
541,1
542,1
543,4
544,1
545,2
546,2
548,2
549,1
550,4
551,1
552,3
554,2
556,3
558,2
560,2
561,1
562,2
565,1
566,1
567,2
569,3
571,1
572,2
573,2
574,1
575,2
576,1
577,1
578,2
580,1
581,1
582,5
586,1
587,1
588,2
592,1
594,1
595,1
597,2
598,3
599,1
600,2
601,1
603,1
604,3
606,2
608,2
609,2
610,2
613,1
614,1
616,1
618,2
620,2
623,1
624,2
626,2
627,2
629,1
630,1
631,2
632,3
634,2
635,1
636,1
637,4
638,2
639,1
640,1
641,1
642,1
645,1
649,1
652,4
653,1
654,1
655,1
656,3
657,2
658,2
659,1
660,2
662,2
664,3
665,2
667,2
668,2
669,2
670,2
671,2
674,2
676,3
677,1
678,2
680,1
681,1
682,1
683,1
684,1
685,2
686,2
690,2
691,2
692,4
695,2
696,2
697,3
698,1
700,1
701,2
702,2
703,4
704,1
705,1
707,1
708,3
712,2
713,1
716,2
719,1
720,1
721,1
724,1
725,1
728,2
729,3
730,2
732,2
733,1
734,2
735,2
737,2
738,2
740,2
742,1
743,1
744,2
745,2
746,1
747,2
748,2
750,1
751,3
753,1
755,2
756,1
758,3
759,1
760,1
761,1
762,1
763,1
764,1
766,1
770,1
771,4
772,2
773,1
774,2
775,3
778,2
780,2
783,1
784,2
785,4
786,3
787,5
789,1
790,3
791,1
792,2
793,2
796,2
797,2
799,2
800,1
801,2
803,2
804,2
805,1
806,1
807,1
808,2
809,1
810,1
813,1
814,2
815,1
816,3
817,1
818,1
822,1
823,1
824,1
825,1
826,1
827,1
828,2
829,2
832,1
833,2
834,2
835,1
836,2
837,1
838,3
839,3
840,1
843,3
844,1
845,1
846,1
847,2
848,2
850,2
851,1
853,1
854,4
857,2
858,3
859,1
860,1
861,1
862,4
864,2
865,2
866,1
867,2
868,2
869,1
870,6
871,1
872,2
873,1
874,1
876,2
878,1
879,1
880,1
882,1
883,1
884,4
885,1
886,2
887,2
889,1
890,2
891,2
892,3
896,2
897,1
898,2
901,4
902,1
903,2
904,4
905,1
906,3
907,1
910,1
912,1
913,2
914,1
915,2
916,1
918,2
919,1
920,1
921,2
923,3
924,2
925,1
926,2
927,1
928,2
929,3
931,2
932,1
934,3
935,2
936,1
938,1
939,2
940,3
943,2
944,1
945,1
946,2
948,3
950,1
951,1
952,1
953,2
954,2
955,1
956,1
957,3
958,2
959,1
960,1
961,1
962,3
964,2
966,1
968,3
969,1
972,1
973,1
974,1
975,1
976,1
978,1
979,2
980,4
981,1
982,4
983,1
985,1
986,1
987,3
990,2
991,1
992,2
993,1
994,3
998,1
999,3
